link,penilaian,price,spek,seller_name,seller_rate,star_rating,cunt_rating,sales,category,Merk,Stock,Supplier_Place,total_penilaian,total_product,percentage_reply_m,reply_time_parameter,registered_date,follower
https://shopee.co.id/Jilbab-Pashmina-Hamidah-Plisket-Prisket-Full-Tanpa-Garis-Tengah-Ori-Danisha-i.3942911.8958471400,"['5.0', '23', '166']",,"['KategoriShopeeFashion MuslimHijab', 'MerekDanisha', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok173', 'Dikirim DariKOTA SURABAYA - SUKOMANUNGGAL, JAWA TIMUR, ID']",sendyayudianingtyas,"['191,2RB', '1,7RB', '90%', 'hitungan jam', '5 tahun lalu', '102,4RB']",5.0,23,166,KategoriShopeeFashion MuslimHijab,MerekDanisha,Asal ProdukLokal,StyleCasual,"191,2RB","1,7RB",90%,hitungan jam,5 tahun lalu,"102,4RB"
https://shopee.co.id/Pashmina-Ceruty-Babydoll-%E2%80%A2Putih-Tulang-(Broken-White)%E2%80%A2-i.188242690.6446059326,"['4.9', '821', '1,6RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekShara Hijab', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok8', 'Dikirim DariKOTA SURABAYA - SAWAHAN, JAWA TIMUR, ID']",shantyindah22,"['1,8RB', '41', '87%', 'hitungan jam', '20 bulan lalu', '1,2RB']",4.9,821,"1,6RB",KategoriShopeeFashion MuslimHijab,MerekShara Hijab,Asal ProdukLokal,StyleCasual,"1,8RB",41,87%,hitungan jam,20 bulan lalu,"1,2RB"
https://shopee.co.id/Jilbab-Pashmina-Tali-Qairo-Payet-Ori-Nazilla-i.3942911.9451326885,"['5.0', '18', '80']",,"['KategoriShopeeFashion MuslimHijab', 'MerekNazilla', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok9', 'Dikirim DariKOTA SURABAYA - SUKOMANUNGGAL, JAWA TIMUR, ID']",sendyayudianingtyas,"['191,2RB', '1,7RB', '90%', 'hitungan jam', '5 tahun lalu', '102,4RB']",5.0,18,80,KategoriShopeeFashion MuslimHijab,MerekNazilla,Asal ProdukLokal,StyleCasual,"191,2RB","1,7RB",90%,hitungan jam,5 tahun lalu,"102,4RB"
https://shopee.co.id/PASHMINA-SQUARE-(READY-STOCK-PASHMINA-ANTI-TEMBEM)-i.49878808.1683162998,"['4.8', '1,5RB', '4RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanBaby Doll Armany', 'Stok93', 'Dikirim DariKOTA SURABAYA - SIMOKERTO, JAWA TIMUR, ID']",arrachmanhijab,"['4,4RB', '66', '84%', 'hitungan jam', '3 tahun lalu', '9,5RB']",4.8,"1,5RB",4RB,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"4,4RB",66,84%,hitungan jam,3 tahun lalu,"9,5RB"
https://shopee.co.id/PART-1-Bisa-Cod-Pasmina-diamond-170x70cm-pashmina-sabyan-pashmina-diamond-premium-i.69378570.1669449200,"['4.8', '935', '2RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanDiamond', 'Stok245', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.8,935,2RB,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
https://shopee.co.id/Pashmina-rajut-gliter-tebal-premium-pashmina-rajut-gliter-hijab-pengantin-panjang-i.185422416.4254090931,"['4.8', '286', '1RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleAntem', 'Bahanrajut', 'Stok305', 'Dikirim DariKOTA SURABAYA - KREMBANGAN, JAWA TIMUR, ID']",denyoubigi,"['545', '26', '83%', 'hitungan jam', '20 bulan lalu', '153']",4.8,286,1RB,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleAntem,545,26,83%,hitungan jam,20 bulan lalu,153
https://shopee.co.id/Jilbab-Pashmina-Instan-Ceruty-Tali-Hollie-Ori-Nazilla-i.3942911.3869664679,"['4.9', '65', '207']",,"['KategoriShopeeFashion MuslimHijab', 'MerekNazilla', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok44', 'Dikirim DariKOTA SURABAYA - SUKOMANUNGGAL, JAWA TIMUR, ID']",sendyayudianingtyas,"['191,2RB', '1,7RB', '90%', 'hitungan jam', '5 tahun lalu', '102,4RB']",4.9,65,207,KategoriShopeeFashion MuslimHijab,MerekNazilla,Asal ProdukLokal,StyleCasual,"191,2RB","1,7RB",90%,hitungan jam,5 tahun lalu,"102,4RB"
https://shopee.co.id/ORIGINAL-DANISHA-Pashmina-plisket-Hamidah-(tanpa-garis-tengah)-i.62105772.8859222023,"['5.0', '3', '20']",,"['KategoriShopeeFashion MuslimHijab', 'MerekDanisha', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok15', 'Dikirim DariKOTA SURABAYA - WONOCOLO, JAWA TIMUR, ID']",nengumihabibah,"['2,8RB', '491', '95%', 'hitungan jam', '3 tahun lalu', '4,8RB']",5.0,3,20,KategoriShopeeFashion MuslimHijab,MerekDanisha,Asal ProdukLokal,StyleCasual,"2,8RB",491,95%,hitungan jam,3 tahun lalu,"4,8RB"
https://shopee.co.id/Jilbab-Pshmian-Instan-Tali-Qintani-Ori-Nazilla-i.3942911.4288013444,"['5.0', '34', '141']",,"['KategoriShopeeFashion MuslimHijab', 'MerekNazilla', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok5', 'Dikirim DariKOTA SURABAYA - SUKOMANUNGGAL, JAWA TIMUR, ID']",sendyayudianingtyas,"['191,2RB', '1,7RB', '90%', 'hitungan jam', '5 tahun lalu', '102,4RB']",5.0,34,141,KategoriShopeeFashion MuslimHijab,MerekNazilla,Asal ProdukLokal,StyleCasual,"191,2RB","1,7RB",90%,hitungan jam,5 tahun lalu,"102,4RB"
https://shopee.co.id/SCUNCHIE-By-Enb-store-i.214361170.6064642703,"['4.6', '225', '768']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'BahanDiamond', 'Stok845318', 'Dikirim DariKOTA SURABAYA - WONOKROMO, JAWA TIMUR, ID']",enbstoree,"['13,4RB', '201', '90%', 'hitungan jam', '17 bulan lalu', '12,9RB']",4.6,225,768,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,BahanDiamond,Stok845318,"13,4RB",201,90%,hitungan jam,17 bulan lalu,"12,9RB"
https://shopee.co.id/Jilbab-Pashmina-Lukis-Heyna-Ori-Cantika-i.3942911.8208457793,"['4.7', '12', '50']",Rp29.100,"['KategoriShopeeFashion MuslimHijab', 'MerekCantika', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok3', 'Dikirim DariKOTA SURABAYA - SUKOMANUNGGAL, JAWA TIMUR, ID']",sendyayudianingtyas,"['191,2RB', '1,7RB', '90%', 'hitungan jam', '5 tahun lalu', '102,4RB']",4.7,12,50,KategoriShopeeFashion MuslimHijab,MerekCantika,Asal ProdukLokal,StyleCasual,"191,2RB","1,7RB",90%,hitungan jam,5 tahun lalu,"102,4RB"
https://shopee.co.id/PASHMINA-PLISKET-DIAMOND-CREPE-PASHMINA-PLISKET-MURAH-i.363512582.7286860273,"['4.6', '50', '285']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'BahanCrepe', 'Stok869', 'Dikirim DariKOTA SURABAYA - SUKOLILO, JAWA TIMUR, ID']",aviskiatanedra,"['64', '103', '72%', 'hitungan jam', '5 bulan lalu', '313']",4.6,50,285,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,BahanCrepe,Stok869,64,103,72%,hitungan jam,5 bulan lalu,313
https://shopee.co.id/HIJAB-PASHMINA-EMBROIDERY-CERUTY-BABYDOLL-CROCHET-JILBAB-PICOT-CROCHET-CERUTY-PREMIUM-PART-1-i.5728346.7457841278,"['5.0', '7', '9']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok44', 'Dikirim DariKOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID']",nourascarves,"['137', '18', '89%', 'hitungan jam', '5 tahun lalu', '139']",5.0,7,9,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,137,18,89%,hitungan jam,5 tahun lalu,139
https://shopee.co.id/-PART-1-TERMURAH-PASHMINA-KARET-CERUTY-BABYDOLL-HIJAB-JILBAB-PLAIN-PASMINA-HAWA-INSTAN-PREMIUM-i.55583719.5215423736,"['4.8', '917', '3,7RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanChiffon', 'Stok493', 'Dikirim DariKOTA SURABAYA - SEMAMPIR, JAWA TIMUR, ID']",greenday.veil,"['63,9RB', '259', '63%', 'hitungan jam', '3 tahun lalu', '44,8RB']",4.8,917,"3,7RB",KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"63,9RB",259,63%,hitungan jam,3 tahun lalu,"44,8RB"
https://shopee.co.id/Jilbab-Hijab-Pashmina-Crochet-Pashmina-Picot-Diamond-i.29101760.7678151676,"['4.8', '28', '64']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Asal ProdukLokal', 'StyleCasual', 'BahanDiamond', 'Stok29', 'Dikirim DariKOTA SURABAYA - RUNGKUT, JAWA TIMUR, ID']",dodollan,"['10,1RB', '322', '95%', 'hitungan jam', '4 tahun lalu', '13,2RB']",4.8,28,64,KategoriShopeeFashion MuslimHijab,MerekAzara,Asal ProdukLokal,StyleCasual,"10,1RB",322,95%,hitungan jam,4 tahun lalu,"13,2RB"
https://shopee.co.id/Jilbab-Pashmina-Tali-Azqiya-Free-Masker-Ori-Nazilla-i.3942911.8814558469,"['4.9', '64', '184']",,"['KategoriShopeeFashion MuslimHijab', 'MerekNazilla', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok21', 'Dikirim DariKOTA SURABAYA - SUKOMANUNGGAL, JAWA TIMUR, ID']",sendyayudianingtyas,"['191,2RB', '1,7RB', '90%', 'hitungan jam', '5 tahun lalu', '102,4RB']",4.9,64,184,KategoriShopeeFashion MuslimHijab,MerekNazilla,Asal ProdukLokal,StyleCasual,"191,2RB","1,7RB",90%,hitungan jam,5 tahun lalu,"102,4RB"
