,link,penilaian,price,spek,seller_name,seller_rate
22,https://shopee.co.id/OPPO-A52-A92-2020-CUSTOM-CASE-FACE-GRID-FACEGRID-CASE-CUSTOM-WAJAH-SOFTCASE-ALL-TYPE-HP-i.105007991.1734900373,"['4.7', '20', '60']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversCustom Case', 'MerekOppo', 'Bahansilikon', 'Model HPOPPO', 'Stok41', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",java18.id,"['17,3RB', '963', '64%', 'hitungan jam', '31 bulan lalu', '15RB']"
23,https://shopee.co.id/BACK-DOOR-COVER-CASING-Xiaomi-Mi-Note-3-TUTUPAN-BATERAI-i.18207789.1324787516,"['4.8', '46', '97']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekXiaomi', 'BahanGlossy', 'Model HPMi Note 3', 'Stok72', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",honashop,"['31RB', '1,1RB', '96%', 'hitungan jam', '4 tahun lalu', '10,8RB']"
24,https://shopee.co.id/SOFTCASE-CASE-OPPO-A12-A37-A39-A57-A83-SOFTCASE-AUTOFOCUS-FOR-OPPO-i.299079311.4448812057,"['4.9', '22', '109']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekOppo', 'BahanSilikon', 'Model HPOPPO', 'Stok419', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
25,https://shopee.co.id/Casing-Housing-Samsung-Galaxy-Young-2-G130-G130H-Fullset-i.52755387.1284444398,"['4.6', '24', '45']",Rp24.500,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPG130 G130H Galaxy Young', 'Stok194', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",miaumiaushop,"['11,4RB', '776', '95%', 'hitungan jam', '3 tahun lalu', '3,4RB']"
26,https://shopee.co.id/Softcase-Xiaomi-Redmi-Note-4-Note-4X-Case-Anti-Crack-Xiaomi-Original-Flip-Case-Bening-Xioa-Mi-i.94863063.2612356759,"['4.8', '14', '30']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekXiaomi', 'BahanSilikon', 'Model HPXiaomi Redmi Note 4 / Note 4X', 'Stok89', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",luckycellular,"['37,9RB', '1,2RB', '87%', 'hitungan jam', '32 bulan lalu', '12,5RB']"
27,https://shopee.co.id/BackDoor-Tutup-Belakang-BackCover-Casing-HP-Oppo-Joy-R1001-ORIGINAL-i.44978207.1784534095,"['5.0', '1', '1']",Rp17.500,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekOppo', 'BahanPlastik', 'Model HPOppo Joy / R1001', 'Stok99', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",jhonichen,"['5RB', '1,5RB', '90%', 'hitungan jam', '4 tahun lalu', '1,6RB']"
28,https://shopee.co.id/CASING-CASE-SAMSUNG-A2-CORE-A9-2018-SOFTCASE-IPAKY-CARBON-i.299079311.6050976793,"['4.8', '8', '12']",Rp5.000,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanSilikon', 'Model HPSamsung', 'Stok7', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
29,https://shopee.co.id/CASE-OPPO-A3S-A5-A7-A5S-SOFTCASE-LEATHER-AUTOFOCUS-FOR-OPPO-i.299079311.4949550849,"['4.5', '18', '51']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekOppo', 'BahanSilikon', 'Model HPOPPO', 'Stok371', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
30,https://shopee.co.id/FASHION-CASE-IRING-OPPO-A57-CASING-CASE-SOFTCASE-MOTIF-DIAMOND-i.44978207.1733635679,"['4.9', '8', '16']",Rp18.000,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekOppo', 'Bahansilikon', 'Model HPoppo a57', 'Stok84', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",jhonichen,"['5RB', '1,5RB', '90%', 'hitungan jam', '4 tahun lalu', '1,6RB']"
31,https://shopee.co.id/Casing-Housing-Samsung-Galaxy-J1-2016-J120G-J120-Fullset-i.18207789.194946517,"['4.9', '19', '36']",Rp29.000,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanMetal', 'Model HPJ1 2016 J120', 'Stok7', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",honashop,"['31RB', '1,1RB', '96%', 'hitungan jam', '4 tahun lalu', '10,8RB']"
